//Key	Language	Translation	creation date yyyymmdd
//  GS ShopBuilder, Copyright (c) 2004 by GS Software AG, Dortmund (www.gs-shopbuilder.com) - Do not remove this copyright notice!		GS ShopBuilder version 3.0.0.3	data20020101
// ©2003 GS ShopBuilder - Droits de traduction réservés pour tous les pays. 			date20020101
// ©2003 GS ShopBuilder - All Rights Reserved.		All translations rights reserved.	date20020101
// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020101
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020101
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020101
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020101	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020101
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020101
// ©2003 GS ShopBuilder - Med eneret.	 	 	date20020101	dk
L_msgPseSelectGroup          	deu	Wählen Sie zunächst eine Warengruppe, bevor Sie Datensätze einfügen oder anhängen!	date20030218
L_msgPseSelectGroup          	esp	First select a category before inserting or adding new items!	date20030218
L_msgPublished                          	deu	 veröffentlicht! 	date20030218
L_msgPublished                          	esp	 !	date20030218
L_msgPWSExample               	deu	z.B. C:\Programme\PWSPro\Data\katalog.db	date20030218
L_msgPWSExample               	esp	e.g. C:\Program files\PWSPro\Data\katalog.db	date20030218
L_msgPWSPath                     	deu	Datei mit der Katalog-Datenbank Ihres PowerWebShop Professional Version 1.x	date20030218
L_msgPWSPath                     	esp	catalogue database from PowerWebShop Professional Version 1.x	date20030218
L_msgPWSProImport                  	deu	Import aus G DATA PowerWebShop Professional 1.x	date20030218
L_msgPWSProImport                  	esp	Import from G DATA PowerWebShop Professional 1.x	date20030218
L_msgQulity                         	deu	Qualität: 	date20030218
L_msgQulity                         	esp	Quality: 	date20030218
L_msgQuotaExceeded          	deu	Nicht genug Speicherplatz auf dem Server	date20030218
L_msgQuotaExceeded          	esp	No enough space on your web server 	date20030218
L_msgReadingDir                        	deu	Verzeichnis lesen	date20030218
L_msgReadingDir                        	esp	Reading directory 	date20030218
L_msgRecords                      	deu	 Datensätze...	date20030218
L_msgRecords                      	esp	 Records...	date20030218
L_msgRecordsDone              	deu	 Datensätze importiert.	date20030218
L_msgRecordsDone              	esp	 Records done.	date20030218
L_msgRecordsImported        	deu	 Datensätzen importiert.	date20030218
L_msgRecordsImported        	esp	 Records imported.	date20030218
L_msgRecordsImportedFullStop 	deu	 Datensätze importiert.	date20030218
L_msgRecordsImportedFullStop 	esp	 Records imported.	date20030218
L_msgRecordsOf                  	deu	 Datensätze von  	date20030218
L_msgRecordsOf                  	esp	 Records of   	date20030218
L_msgReindexed                  	deu	erfolgreich reindiziert!	date20030218
L_msgReindexed                  	esp	reindexed!	date20030218
L_msgRequestedFileNotFound	deu	Die angegebene Datei wurde nicht gefunden. Bitte legen Sie die Datei im Verzeichnis 	date20030218
L_msgRequestedFileNotFound	esp	The file was not found. Please create or copy a file into the directory.  	date20030218
L_msgSaveChanges              	deu	Änderungen speichern ?	date20030218
L_msgSaveChanges              	esp	Save changes ?	date20030218
L_msgSaveConfig                 	deu	Importkonfiguration sichern	date20030218
L_msgSaveConfig                 	esp	Save import configuration 	date20030218
L_msgSaveError                     	deu	Fehler beim Schreiben der Datei 	date20030218
L_msgSaveError                     	esp	Error during writing to file 	date20030218
L_msgSelectATemplate                  	deu	Bitte wählen Sie eine Stilvorlage aus	date20030218
L_msgSelectATemplate                  	esp	Please select a template 	date20030218
L_msgSelectFile                   	deu	Datei wählen	date20030218
L_msgSelectFile                   	esp	Select file 	date20030218
L_msgSelectTable                	deu	Tabelle wählen	date20030218
L_msgSelectTable                	esp	Select table 	date20030218
L_msgSequence......................  	deu	Reihenfolge	date20030218
L_msgSequence......................  	esp	Sequence 	date20030218
L_msgSkipping                          	deu	 wird übersprungen	date20030218
L_msgSkipping                          	esp	 skipped 	date20030218
L_msgSlidingScalePrice1           	deu	Staffelpreis 1	date20030218
L_msgSlidingScalePrice1           	esp	Graded price 1	date20030218
L_msgSlidingScalePrice2           	deu	Staffelpreis 2	date20030218
L_msgSlidingScalePrice2           	esp	Graded price 2	date20030218
L_msgSlidingScalePrice3           	deu	Staffelpreis 3	date20030218
L_msgSlidingScalePrice3           	esp	Graded price 3	date20030218
L_msgSlidingScalePrice4           	deu	Staffelpreis 4	date20030218
L_msgSlidingScalePrice4           	esp	Graded price 4	date20030218
L_msgSlidingScalePrice5           	deu	Staffelpreis 5	date20030218
L_msgSlidingScalePrice5           	esp	Graded price 5	date20030218
L_msgSlidingScaleQty1          	deu	Staffelmenge 1	date20030218
L_msgSlidingScaleQty1          	esp	Graded quantity 1	date20030218
L_msgSlidingScaleQty2         	deu	Staffelmenge 2	date20030218
L_msgSlidingScaleQty2         	esp	Graded quantity 2	date20030218
L_msgSlidingScaleQty3         	deu	Staffelmenge 3	date20030218
L_msgSlidingScaleQty3         	esp	Graded quantity 3	date20030218
L_msgSlidingScaleQty4         	deu	Staffelmenge 4	date20030218
L_msgSlidingScaleQty4         	esp	Graded quantity 4	date20030218
L_msgSlidingScaleQty5         	deu	Staffelmenge 5	date20030218
L_msgSlidingScaleQty5         	esp	Graded quantity 5	date20030218
L_msgSmallImgLink              	deu	Link kleines Bild	date20030218
L_msgSmallImgLink              	esp	Small image link	date20030218
L_msgSmallImgName           	deu	Dateiname kleines Bildes	date20030218
L_msgSmallImgName           	esp	Small image file name	date20030218
L_msgSourceFile                        	deu	Quelldatei: 	date20030218
L_msgSourceFile                        	esp	Source: 	date20030218
L_msgStartingImport            	deu	Import beginnt	date20030218
L_msgStartingImport            	esp	Starting import	date20030218
L_msgStatBig                            	deu	Große Bilder	date20030218
L_msgStatBig                            	esp	Large images	date20030218
L_msgStatDetail                    	deu	Detailseiten	date20030218
L_msgStatDetail                    	esp	Detail pages	date20030218
L_msgStatImg                           	deu	Bilder	date20030218
L_msgStatImg                           	esp	Images	date20030218
L_msgStatLogos                          	deu	Logos	date20030218
L_msgStatLogos                          	esp	Logos	date20030218
L_msgStatMedium                        	deu	Mittelgroße Bilder	date20030218
L_msgStatMedium                        	esp	Medium images 	date20030218
L_msgStatOnlineShop           	deu	Onlineshop insgesamt	date20030218
L_msgStatOnlineShop           	esp	Online shop in total 	date20030218
L_msgStatOther                          	deu	Sonstige Dateien	date20030218
L_msgStatOther                          	esp	Other files 	date20030218
L_msgStatPages                   	deu	Katalogseiten	date20030218
L_msgStatPages                   	esp	catalogue pages 	date20030218
L_msgStatSmall                          	deu	Kleine Bilder	date20030218
L_msgStatSmall                          	esp	Small images 	date20030218
L_msgStatTotal                          	deu	Gesamt	date20030218
L_msgStatTotal                          	esp	Total 	date20030218
L_msgStatusCompiling                   	deu	Datei wird compiliert...	date20030218
L_msgStatusCompiling                   	esp	Compiling file...	date20030218
L_msgStatusCopying                 	deu	Datei wird kopiert...	date20030218
L_msgStatusCopying                 	esp	Copying file...	date20030218
L_msgStatusReady                   	deu	Fertig!	date20030218
L_msgStatusReady                   	esp	Ready!	date20030218
L_msgSubDirHint                        	deu	Nur wählbar, wenn in ein Unterverzeichnis veröffentlicht wird	date20030218
L_msgSubDirHint                        	esp	May be selected when publishing in a subdirectory	date20030218
L_msgSuccessfullyPacked     	deu	erfolgreich gepackt und reindiziert!	date20030218
L_msgSuccessfullyPacked     	esp	successfully packed and reindexed! 	date20030218
L_msgSuccessullyPacked            	deu	Datenbank erfolgreich gepackt.	date20030218
L_msgSuccessullyPacked            	esp	successfully packed!.	date20030218
L_msgTemplateFile              	deu	Stilvorlage-Datei	date20030218
L_msgTemplateFile              	esp	Template file 	date20030218
L_msgTextFilter                   	deu	Text Dateien (*.txt)|*.TXT|Alle Dateien (*.*)|*.*	date20030218
L_msgTextFilter                   	esp	Text files (*.txt)|*.TXT|All files (*.*)|*.*	date20030218
L_msgTextInput                        	deu	Texteingabe	date20030218
L_msgTextInput                        	esp	Textinput 	date20030218
L_msgThankYou                          	deu	Vielen Dank für die Registrierung und viel Spaß bei der Arbeit mit dem GS ShopBuilder!	date20030218
L_msgThankYou                          	esp	Thank you to have registered the software. We hope you will enjoy working with GS ShopBuilder!	date20030218
L_msgTryingToConnect                	deu	Verbindung wird hergestellt	date20030218
L_msgTryingToConnect                	esp	Trying to connect...	date20030218
L_msgVATRate                     	deu	MWST-Satz	date20030218
L_msgVATRate                     	esp	VAT-Rate	date20030218
L_formatArticle	deu	%s Artikel %s.	date20030320
L_formatArticle	esp	%s item %s.	date20030320
L_formatArticles	deu	%s Artikel %s.	date20030320
L_formatArticles	esp	%s items %s.	date20030320
L_formatArticleIn	deu	%s Artikel in %s.	date20030320
L_formatArticleIn	esp	%s item in %s.	date20030320
L_formatArticlesIn	deu	%s Artikel in %s.	date20030320
L_formatArticlesIn	esp	%s items in %s.	date20030320
L_txtPaymentInvoice	deu	Rechnung	date20030320
L_txtPaymentOnReceipt	deu	Nachnahme	date20030320
L_txtPaymentDirectDebit	deu	Lastschrift	date20030320
L_txtPaymentCreditCard	deu	Kreditkarte	date20030320
L_txtPaymentInAdvance	deu	Vorauskasse	date20030320
L_txtPaymentOther	deu	Sonstiges	date20030320
L_txtPaymentMode	deu	Zahlungsart	date20030320
L_txtPaymentDescription	deu	angezeigt als	date20030320
L_txtPaymentInvoice	esp	Invoice	date20030320
L_txtPaymentOnReceipt	esp	On receipt	date20030320
L_txtPaymentDirectDebit	esp	Direct debit	date20030320
L_txtPaymentCreditCard	esp	Credit card	date20030320
L_txtPaymentInAdvance	esp	In advance	date20030320
L_txtPaymentOther	esp	Other	date20030320
L_txtPaymentMode	esp	Payment	date20030320
L_txtPaymentDescription	esp	Description	date20030320
L_btnCurrencyDollar	deu	Dollar	date20030320
L_btnCurrencyPound	deu	Pfund	date20030320
L_btnCurrencyEuro	deu	Euro	date20030320
L_btnCurrencyDollar	esp	Dollar	date20030320
L_btnCurrencyPound	esp	Pound	date20030320
L_btnCurrencyEuro	esp	Euro	date20030320
L_AttributFormCaption	esp	Edit Attribute List	date20030320
L_AttributFormLabel1Caption	esp	&New Value:	date20030320
L_AttributFormLabel2Caption	esp	Select Attribute List:	date20030320
L_AttributFormGroupBox1Caption	esp	Values	date20030320
L_AttributFormGroupBox1btnUpCaption	esp	Move up	date20030320
L_AttributFormGroupBox1btnDownCaption	esp	Move down	date20030320
L_AttributFormGroupBox1btnDelCaption	esp	&Remove	date20030320
L_AttributFormGroupBox1btnChangeCaption	esp	&Edit...	date20030320
L_AttributFormGroupBox1Button3Caption	esp	As Text...	date20030320
L_AttributFormbtnAddLineCaption	esp	&Add	date20030320
L_AttributFormButton5Caption	esp	&New...	date20030320
L_AttributFormButton8Caption	esp	OK	date20030320
L_AttributFormButton1Caption	esp	Cancel	date20030320
L_AttributFormButton2Caption	esp	&Delete	date20030320
L_AttributFormCaption	deu	Attributliste bearbeiten	date20030320
L_AttributFormLabel1Caption	deu	&Neuer Attributwert:	date20030320
L_AttributFormLabel2Caption	deu	Attributliste auswählen:	date20030320
L_AttributFormGroupBox1Caption	deu	Werte	date20030320
L_AttributFormGroupBox1btnUpCaption	deu	nach Oben	date20030320
L_AttributFormGroupBox1btnDownCaption	deu	nach Unten	date20030320
L_AttributFormGroupBox1btnDelCaption	deu	&Entfernen	date20030320
L_AttributFormGroupBox1btnChangeCaption	deu	&Ändern...	date20030320
L_AttributFormGroupBox1Button3Caption	deu	Als Text...	date20030320
L_AttributFormbtnAddLineCaption	deu	Hin&zufügen	date20030320
L_AttributFormButton5Caption	deu	&Neu...	date20030320
L_AttributFormButton8Caption	deu	OK	date20030320
L_AttributFormButton1Caption	deu	Abbrechen	date20030320
L_AttributFormButton2Caption	deu	&Löschen	date20030320
L_www.shopcity24.de_index	deu	http://www.shopcity24.de/index.html	date20030324
L_www.shopcity24.de_register	deu	http://www.shopcity24.de/anmelden.htm	date20030324
L_www.shopcity24.de_index	esp	http://www.shopcity24.com/index.html	date20030324
L_www.shopcity24.de_register	esp	http://www.shopcity24.com/register.htm	date20030324
L_charCurrencyPound	deu	£	date20030502
L_charCurrencyEuro	deu	€	date20030502
L_charCurrencyDollar	esp	$	date20030502
L_charCurrencyPound	esp	£	date20030502
L_charCurrencyEuro	esp	€	date20030502
L_msgFileExists	deu	Datei existiert	date20030602
L_msgFileExists	esp	File exists 	date20030602
L_msgLoadConfig	deu	Importkonfiguration laden	date20030602
L_msgLoadConfig	esp	Load import configuration file 	date20030602
L_msgNoValisSpec	deu	Dies ist keine gültige Import-Spezifikation!	date20030602
L_msgNoValisSpec	esp	This is not a valid specification for import! 	date20030602
L_msgSequence	deu	Reihenfolge	date20030602
L_msgSequence	esp	Sequence 	date20030602
L_msgProductDescription....  	deu	Produktname	date20030602
L_msgProductDescription....  	esp	Product name	date20030602
L_msgProductGroup..............  	deu	Warengruppe	date20030602
L_msgProductGroup..............  	esp	Category	date20030602
L_msgProductNumber...........  	deu	Artikelnummer	date20030602
L_msgProductNumber...........  	esp	Item number	date20030602
L_ImportFromGSShopbuilderPro2x1Caption	deu	Import aus GS ShopBuilder Pro 2.x	date20030821
L_ImportFromGSShopbuilderPro2x1Caption	esp	Import from GS ShopBuilder Pro 2.x	date20030821
L_ImportFromGSShopbuilderStandard2x1Caption	deu	Import aus GS ShopBuilder Standard 2.x	date20030821
L_ImportFromGSShopbuilderStandard2x1Caption	esp	Import from GS ShopBuilder Standard 2.x	date20030821
L_SettingsLabelMaxQuantity	deu	Maximale Bestellmenge: 	date20031007
L_SettingsLabelMaxQuantity	esp	Maximum quantity: 	date20031007
L_SettingsFormPageControl1TabSheet3GroupBoxMaxQuantityCaption	deu	Maximale Bestellmenge 	date20031007
L_SettingsFormPageControl1TabSheet3GroupBoxMaxQuantityCaption	esp	Maximum quantity within order	date20031007
L_SettingsCheckBoxBankCodeRequired	deu	Bankleitzahl als Mussfeld	date20031007
L_SettingsCheckBoxBankCodeRequired	esp	Bank code is required	date20031007
L_SettingsDataBackupGroupBoxFaqCaptionGD	deu	Bemerkung zur Datensicherung	date20031008
L_SettingsDataBackupGroupBoxFaqCaptionGD	esp	About data backup	date20031008
L_SettingsDataBackupGroupBoxFaqLabelLinkGD	deu	http://www.gdata.de/user/faq_neu/index.htm	date20031008
L_SettingsDataBackupGroupBoxFaqLabelLinkGD	esp	http://www.gdata.de/user/faq_neu/index.htm	date20031008
L_SettingsDataBackupGroupBoxFaqLabelTextGD	deu	Bei der Katalogdatensicherung werden NUR die Katalogdaten gesichert. Die Katalogdatensicherung ist kein#13#10Ersatz für eine komplette Datensicherung, insbesondere werden die Bilder NICHT gesichert. Machen Sie#13#10bitte regelmäßig eine komplette Datensicherung.	date20031008
L_SettingsDataBackupGroupBoxFaqLabelTextGD	esp	The backup functions within GS ShopBuilder will ONLY back up the item details.#13#10You should make regular FULL backups of your complete GS ShopBuilder directory.#13#10#13#10More information about data security can be found #13#10in the user manual or in the FAQ section on our website.	date20031008
L_SettingsDataBackupGroupBoxFaqCaptionGS	deu	Bemerkung zur Datensicherung	date20031008
L_SettingsDataBackupGroupBoxFaqCaptionGS	esp	About data backup	date20031008
L_SettingsDataBackupGroupBoxFaqLabelLinkGS	deu	http://www.gs-shopbuilder.de/faq.htm	date20031008
L_SettingsDataBackupGroupBoxFaqLabelLinkGS	esp	http://www.gs-shopbuilder.com/faq.htm	date20031008
L_SettingsDataBackupGroupBoxFaqLabelTextGS	deu	Bei der Katalogdatensicherung werden NUR die Katalogdaten gesichert. Die Katalogdatensicherung ist kein#13#10Ersatz für eine komplette Datensicherung, insbesondere werden die Bilder NICHT gesichert. Machen Sie#13#10bitte regelmäßig eine komplette Datensicherung. Weitere Informationen finden Sie im Handbuch oder unter:#13#10	date20031008
L_SettingsDataBackupGroupBoxFaqLabelTextGS	esp	The catalogbackup will ONLY backup the article-dababase (not the images).#13#10This catalogbackup is NOT a full backup. Please do not forget to make a full backup.#13#10You will find more information in the manual or in the FAQ:#13#10	date20031008
L_DBEdit20HintPrice	deu	Preis	date20031119
L_DBEdit20HintPrice	esp	Price	date20031119
L_DBCheckBoxSlideShow	deu	Slideshow	date20031119
L_DBCheckBoxSlideShow	esp	Slide show	date20031119
L_RegisterFormLabel6Fields4CharsCaption	deu	Die Registriernummer besteht aus 6 Gruppen mit jeweils vier Zeichen:	Date20031125
L_RegisterFormLabel6Fields4CharsCaption	esp	The register number contains 5 groups, each group is 4 characters long:	Date20031125
L_LabelRegWebAddress	deu	Die Web-Adresse, die Sie bei Ihrer GS ShopBuilder Bestellung angegeben haben:	Date20031126
L_LabelRegWebAddress	esp	The web-address of your shop :	Date20031126
L_LabelRegCountry	deu	Land:	date20031127
L_LabelRegCountry	esp	Country:	date20031127
L_ProductGroupNewCategory	deu	Neue Warengruppe	date20031208
L_ProductGroupNewCategory	esp	New category	date20031208
L_ProductGroupRecycleBin	deu	Gelbe Tonne	date20031208
L_ProductGroupRecycleBin	esp	Recycle bin	date20031208
L_Language	deu	Sprache	date20040112
L_Language	esp	Language	date20040112
L_Lang.	deu	Land	date20040112
L_Lang.	esp	Lang.	date20040112
L_LanguageRegShop	deu	Registrierung	date20040112
L_LanguageRegShop	esp	Register language	date20040112
L_LanguageSettingAvailableAfterRestart	deu	Die Änderungen werden beim nächsten Start übernommen.  	date20040101
L_LanguageSettingAvailableAfterRestart	esp	New settings will be available after restart.	date20040101
L_LblVariant	deu	Variante	date20040105
L_LblVariant	esp	Variant	date20040105
L_ShopLanguage	deu	Onlineshop-Sprache	date20040112
L_ShopLanguage	esp	Onlineshop-Language	date20040112
L_UserLanguage	deu	Ihre Sprache	date20040112
L_UserLanguage	esp	Operating language	date20040112
L_LanguageSimplifiedChinese	deu	Chinesisch (China)	date20040112
L_LanguageSimplifiedChinese	esp	Simplified Chinese	date20040112
L_LanguageTraditionalChinese	deu	Chinesisch (Taiwan,HK)	date20040112
L_LanguageTraditionalChinese	esp	Traditional Chinese	date20040112
L_LanguageCzech	deu	Tschechisch	date20040112
L_LanguageCzech	esp	Czech	date20040112
L_LanguageDanish	deu	Dänisch	date20040112
L_LanguageDanish	esp	Danish	date20040112
L_LanguageDutch	deu	Niederländisch	date20040112
L_LanguageDutch	esp	Dutch	date20040112
L_LanguageEnglish	deu	Englisch	date20040112
L_LanguageEnglish	esp	English	date20040112
L_LanguageFinnish	deu	Finnisch	date20040112
L_LanguageFinnish	esp	Finnish	date20040112
L_LanguageFrench	deu	Französisch	date20040112
L_LanguageFrench	esp	French	date20040112
L_LanguageGerman	deu	Deutsch	date20040112
L_LanguageGerman	esp	German	date20040112
L_LanguageHungarian	deu	Ungarisch	date20040112
L_LanguageHungarian	esp	Hungarian	date20040112
L_LanguageItalian	deu	Italienisch	date20040112
L_LanguageItalian	esp	Italian	date20040112
L_LanguageJapanese	deu	Japanisch	date20040112
L_LanguageJapanese	esp	Japanese	date20040112
L_LanguageKorean	deu	Koreanisch	date20040112
L_LanguageKorean	esp	Korean	date20040112
L_LanguageNorwegian	deu	Norwegisch	date20040112
L_LanguageNorwegian	esp	Norwegian	date20040112
L_LanguagePolish	deu	Polnisch	date20040112
L_LanguagePolish	esp	Polish	date20040112
L_LanguagePortuguese	deu	Portugiesisch	date20040112
L_LanguagePortuguese	esp	Portuguese	date20040112
L_LanguageRussian	deu	Russisch	date20040112
L_LanguageRussian	esp	Russian	date20040112
L_LanguageSlovak	deu	Slowakisch	date20040112
L_LanguageSlovak	esp	Slovak	date20040112
L_LanguageSlovenian	deu	Slowenisch	date20040112
L_LanguageSlovenian	esp	Slovenian	date20040112
L_LanguageSpanish	deu	Spanisch	date20040112
L_LanguageSpanish	esp	Spanish	date20040112
L_LanguageSwedish	deu	Schwedisch	date20040112
L_LanguageSwedish	esp	Swedish	date20040112
L_LanguageTurkish	deu	Türkisch	date20040112
L_LanguageTurkish	esp	Turkish	date20040112
L_GroupBoxVariants	deu	Varianten	date20040112
L_GroupBoxVariants	esp	Variants	date20040112
L_LabelVariantItemNumber	deu	Art.-Nr. Variante	date20040112
L_LabelVariantItemNumber	esp	Variant item	date20040112
L_LabelVariantGroup	deu	Hauptartikel	date20040112
L_LabelVariantGroup	esp	main item	date20040112
L_GroupBoxPrices	deu	Staffelpreise	date20040112
L_GroupBoxPrices	esp	Prices	date20040112
L_PriceQuantFrom	deu	ab Menge	date20040112
L_PriceQuantFrom	esp	Quantity from	date20040112
L_LabelPrice	deu	Preis	date20040112
L_LabelPrice	esp	Price	date20040112
L_TaxNo	deu	Mwst	date20040112
L_TaxNo	esp	Tax-no	date20040112
L_Country	deu	Land	date20040112
L_Country	esp	Country	date20040112
L_LabelAttributeKey1	deu	Schlüssel	date20040112
L_LabelAttributeKey1	esp	Attribute key	date20040112
L_LabelAttributeKey2	deu	Schlüssel	date20040112
L_LabelAttributeKey2	esp	Attribute key	date20040112
L_LabelAttributeKey3	deu	Schlüssel	date20040112
L_LabelAttributeKey3	esp	Attribute key	date20040112
L_LabelAttributeItemNumber	deu	Artikelnummer	date20040112
L_LabelAttributeItemNumber	esp	Item number	date20040112
L_LabelAttributeName	deu	Attributname	date20040112
L_LabelAttributeName	esp	Attribute name	date20040112
L_LabelAttributeValueText	deu	Text	date20040112
L_LabelAttributeValueText	esp	Text	date20040112
L_GroupBoxAttributes	deu	Attribute	date20040112
L_GroupBoxAttributes	esp	Attributes	date20040112
L_PanelVariantsPricesAttributes	deu	Varianten, Staffelpreise, Attribute	date20040112
L_PanelVariantsPricesAttributes	esp	Variants, prices, attributes	date20040112
L_TabSheetVariants	deu	Varianten, Staffelpreise	date20040112
L_TabSheetVariants	esp	Variants, prices	date20040112
L_TabSheetGroups	deu	Warengruppen	date20040112
L_TabSheetGroups	esp	Product groups	date20040112
L_GroupBoxProductGroups	deu	Warengruppen	date20040112
L_GroupBoxProductGroups	esp	Product groups	date20040112
L_pgCount1	deu	Nr	date20040112
L_pgCount1	esp	No	date20040112
L_LabelProductGroupItemNumber	deu	Artikelnummer	date20040112
L_LabelProductGroupItemNumber	esp	Item number	date20040112
L_LabelProductGroupName	deu	Warengruppe	date20040112
L_LabelProductGroupName	esp	Product group name	date20040112
L_LabelProductGroupImage	deu	Warengruppenbild	date20091008
L_LabelProductGroupImage	esp	Product group image	date20091008
L_LabelProductGroupHint	deu	Warengruppenbeschreibung	date20091009
L_LabelProductGroupHint	esp	Product group description	date20091009
L_LabelCountry	deu	Land	date20040112
L_LabelCountry	esp	Country	date20040112
L_LabelWebAddress	deu	Web-Adresse	date20040112
L_LabelWebAddress	esp	Web address	date20040112
L_LabelShopLanguage	deu	Sprache des Onlineshops	date20040112
L_LabelShopLanguage	esp	Onlineshop language	date20040112
L_LabelUserLanguage	deu	Ihre Sprache	date20040112
L_LabelUserLanguage	esp	Operating language	date20040112
L_GroupBoxCountry	deu	Land	date20040112
L_GroupBoxCountry	esp	Country	date20040112
L_GroupBoxLanguage	deu	Sprachen	date20040112
L_GroupBoxLanguage	esp	Languages	date20040112
L_LabelProductNameVariantDescriptionText	deu	Artikelbezeichnung/Variante/Beschreibung	date20040113
L_LabelProductNameVariantDescriptionText	esp	Item name/variant/description	date20040113
L_RegistrationDataOnlineCheck	deu	Die Registrierung wird online überprüft.	date20040112
L_RegistrationDataOnlineCheck	esp	Registrationdata will be send to the server for online check.	date20040112
L_ContentTranslate	deu	Contents übersetzen	date20040118
L_ContentTranslate	esp	Translate contents	date20040118
L_cbUseWorldPay	deu	Zahlung mit RBS WorldPay akzeptieren	date20040119
L_cbUseWorldPay	esp	Accept RBS WorldPay	date20040119
L_GroupBoxWorldPay	deu	Zahlung per RBS WorldPay	date20040119
L_GroupBoxWorldPay	esp	RBS WorldPay	date20040119
L_LabelWorldPayID	deu	RBS WorldPay-ID:	date20040119
L_LabelWorldPayID	esp	RBS WorldPay-ID:	date20040119
L_ButtonWorldPay	deu	Bei RBS WorldPay anmelden	date20040119
L_ButtonWorldPay	esp	Register RBS WorldPay	date20040119
L_ButtonWorldPayElv	deu	ELV-Teilnahme	date20040119
L_ButtonWorldPayElv	esp	Register RBS WorldPay	date20040119
L_cbTellAFriend	deu	Artikelempfehlung aktivieren	date20040122
L_cbTellAFriend	esp	Use Tell a friend	date20040122
L_TabSheetTellAFriend	deu	Tell a friend	date20040122
L_TabSheetTellAFriend	esp	Tell a friend	date20040122
L_GroupBoxTellAFriend	deu	Artikelempfehlung	date20040122
L_GroupBoxTellAFriend	esp	Tell a friend	date20040122
L_RegisterAtTrustedShops	deu	Bei TrustedShops anmelden	date20040122
L_RegisterAtTrustedShops	esp	Register at TrustedShops	date20040122
L_GroupBoxSkonto	deu	Rabatt	date20040123
L_GroupBoxSkonto	esp	Cashdiscount	date20040123
L_cbUseSkonto	deu	Rabatt gewähren	date20040123
L_cbUseSkonto	esp	Use cash discount	date20040123
L_LabelSkontoText	deu	Rabatt-Text	date20040123
L_LabelSkontoText	esp	Cashdiscount	date20040123
L_LabelSkontoPercent	deu	Rabatt	date20040123
L_LabelSkontoPercent	esp	Cashdiscount %	date20040123
L_tabSheetSkonto	deu	Rabatt	date20040123
L_tabSheetSkonto	esp	Cashdiscount	date20040123
L_ButtonShippingTranslate	deu	Aktualisieren (ggf.übersetzen)	date20040228
L_ButtonShippingTranslate	esp	translate	date20040228
L_CashDiscount	deu	Rabatt	date20040228
L_CashDiscount	esp	Cash discount	date20040228
L_CashDiscountPercent	deu	Rabatt %	date20040228
L_CashDiscountPercent	esp	Discount %	date20040228
L_CashDiscountText	deu	Text	date20040228
L_CashDiscountText	esp	Text	date20040228
L_CashUseCashDiscount	deu	Rabatt ein/aus	date20040228
L_CashUseCashDiscount	esp	Use	date20040228
L_CheckBoxPrices	deu	Alle Staffelpreise anzeigen	date20040228
L_CheckBoxPrices	esp	Show all prices	date20040228
L_CheckBoxProductGroupLanguage	deu	Alle Warengruppen	date20040228
L_CheckBoxProductGroupLanguage	esp	Show all product groups	date20040228
L_CheckBoxShippingWeightCost	deu	Alles zeigen	date20040228
L_CheckBoxShippingWeightCost	esp	Show all records	date20040228
L_CheckBoxVariants	deu	Alle Varianten zeigen	date20040228
L_CheckBoxVariants	esp	Show all variant items	date20040228
L_ContentPoolLanguage	deu	Sprache.	date20040228
L_ContentPoolLanguage	esp	Lang.	date20040228
L_dispatch	deu	Versand (allg.)	date20040228
L_dispatch	esp	Dispatch	date20040228
L_DispatchViaPreinstalledScriptAtGS	deu	vorinstalliertes Skript http://www.gs-shopbuilder.de/cgi-bin/gsorder.pl	date20040228
L_DispatchViaPreinstalledScriptAtGS	esp	Dispatch via preinstalled script on gs-shopbuilder server	date20040228
L_GroupBoxGroups	deu	Warengruppen	date20040228
L_GroupBoxGroups	esp	Productgroups	date20040228
L_LTaxNo	deu	Mwst	date20040228
L_LTaxNo	esp	VAT	date20040228
L_MessagePleaseConvertTo24Bit	deu	Das Bild muss 24-bit-Farbtiefe haben!	date20040228
L_MessagePleaseConvertTo24Bit	esp	Please convert picture to truecolor (24 bit)	date20040228
L_PopupProductGroupTreeTranslateCaption	deu	Aktualisieren	date20040228
L_PopupProductGroupTreeTranslateCaption	esp	Translate	date20040228
L_shipping	deu	Versand	date20040228
L_shipping	esp	Shipping	date20040228
L_shippingText	deu	Versandart	date20040228
L_shippingText	esp	Shipping text	date20040228
L_shippingToWeight	deu	Gewicht	date20040228
L_shippingToWeight	esp	Weight	date20040228
L_sort	deu	Sort.	date20040228
L_sort	esp	sort.	date20040228
L_TabSheetWorldPay	deu	RBS WorldPay	date20040228
L_TabSheetWorldPay	esp	RBS WorldPay	date20040228
